01_lung.arff,algorithm,9.544904763,9.544904272,9.545552253723145,2,1,1.0,2,0.69
02_csb-ch15-lung.arff,algorithm,9.619659536999999,9.619657754000002,9.622752904891968,2,1,1.0,2,0.69
03_csb-ch07-halibut.arff,algorithm,20.948274862,20.948272858000003,20.955971479415894,3,1,3.3333333333333335,10,0.42
04_BHS.arff,algorithm,32.31890363600001,32.318896953999996,32.321954011917114,4,0,2.5,10,0.4
05_Rossi.arff,algorithm,34.15060136999999,34.150580412,34.164536476135254,4,1,2.25,9,0.66
06_unemployed.arff,algorithm,71.812465865,71.812466958,71.8409788608551,9,1,2.5555555555555554,23,0.21
07_Melanoma.arff,algorithm,90.15140916399997,90.151408352,90.17524719238281,9,1,3.111111111111111,28,0.4
08_mgus.arff,algorithm,89.73288659600001,89.73288441199998,89.74870538711548,5,1,2.8,14,0.45
09_std.arff,algorithm,116.78014739899999,116.78014505499999,116.79416251182556,6,3,3.3333333333333335,20,0.54
10_hd.arff,algorithm,128.78325491200002,128.78325462099997,128.81500577926636,2,0,1.0,2,0.66
11_follic.arff,algorithm,133.50217889099997,133.50212658399994,133.54119753837585,2,1,2.0,4,0.5
12_cancer.arff,algorithm,137.95854991600004,137.95854215100007,137.9995276927948,11,0,3.6363636363636362,40,0.41
13_uis.arff,algorithm,167.191312068,167.19125407900003,167.23513174057007,2,1,1.0,2,0.78
14_whas1.arff,algorithm,175.50085862799983,175.50085747699995,175.526691198349,3,3,1.0,3,0.66
15_csb-ch12-nursing.arff,algorithm,221.46142422999992,221.46142846700013,221.52613615989685,15,3,2.6666666666666665,40,0.41
16_bmt-ch.arff,algorithm,224.70693145500013,224.70693249700003,224.7334041595459,2,0,1.0,2,0.5
17_przeszczepy.arff,algorithm,226.048454514,226.04839694700013,226.06551384925842,2,0,1.0,2,0.5
18_zinc.arff,algorithm,290.3387202690001,290.3386637130002,290.3717408180237,3,0,1.6666666666666667,5,0.39
19_GBSG2.arff,algorithm,340.8451486910003,340.8450960519999,340.8784124851227,2,1,1.5,3,0.61
20_whas500.arff,algorithm,378.61370967899984,378.6137101300001,378.6676170825958,3,2,1.0,3,0.76
21_actg320.arff,algorithm,566.6117699219999,566.611762779,566.7084140777588,4,1,2.0,8,0.63
22_wcgs.arff,algorithm,650.3662375140002,650.3662338570002,650.4208426475525,3,3,1.0,3,0.55
23_lac_selected.arff,algorithm,848.9985844489993,848.9985806519999,849.0649969577789,3,2,2.3333333333333335,7,0.6
24_pbc.arff,algorithm,968.6585111799996,968.6585154479999,968.783127784729,3,1,1.0,3,0.84
25_TRACE.arff,algorithm,3806.7972561000006,3806.797244077,3807.536878347397,2,0,1.0,2,0.97
