dataset,CR_number,CR,RR,ER,CR vs ER p_value,RR vs ER p_value,CR vs RR p_value,CR RMST,RR RMST,ER RMST,median_survival_time_CR,median_survival_time_RR,median_survival_time_ER
15_csb-ch12-nursing.arff,0,"IF gender = {0} AND age >= 73.50 THEN survival_status = {152.0} (p=1030, n=0, P=1601, N=0)","IF hlstat <= 3.50 AND age >= 67.50 THEN survival_status = {151.0} (p=887, n=0, P=1601, N=0)","IF gender = {0} AND age >= 73.50 AND hlstat <= 3.50 AND age >= 67.50 THEN survival_status = {198.0} (p=590, n=0, P=1601, N=0)",0.01193143967637078,0.013447802310460943,0.9983622870827216,359.9644683156078,356.3365496570425,411.77633781948316,152.0,151.0,198.0
15_csb-ch12-nursing.arff,1,"IF gender = {0} AND age >= 71.50 THEN survival_status = {148.0} (p=1083, n=0, P=1601, N=0)","IF hlstat <= 3.50 AND age >= 65.50 THEN survival_status = {148.0} (p=904, n=0, P=1601, N=0)","IF gender = {0} AND age >= 71.50 AND hlstat <= 3.50 AND age >= 65.50 THEN survival_status = {191.0} (p=625, n=0, P=1601, N=0)",0.010430414555443579,0.01480298817188097,0.9404446866693966,355.46153271683806,353.1688524876664,406.26136827557815,148.0,148.0,191.0
15_csb-ch12-nursing.arff,2,"IF gender = {0} AND age >= 67.50 THEN survival_status = {144.0} (p=1147, n=0, P=1601, N=0)","IF hlstat <= 3.50 THEN survival_status = {147.0} (p=919, n=0, P=1601, N=0)","IF gender = {0} AND age >= 67.50 AND hlstat <= 3.50 THEN survival_status = {172.0} (p=666, n=0, P=1601, N=0)",0.017002857556917772,0.03992633927676836,0.7693656538213463,348.6307489513499,350.26800517639737,394.1357935275681,144.0,147.0,172.0
19_GBSG2.arff,0,"IF pnodes >= 4.50 THEN survival_status = {893.0} (p=253, n=0, P=686, N=0)","IF progrec <= 2.50 THEN survival_status = {891.0} (p=129, n=0, P=686, N=0)","IF pnodes >= 4.50 AND progrec <= 2.50 THEN survival_status = {624.0} (p=63, n=0, P=686, N=0)",0.016070435177100273,0.03703839398700637,0.9349342394637239,1121.7968499869664,1113.974927887686,881.4427016507722,893.0,891.0,624.0
20_whas500.arff,0,"IF chf <= 0.50 THEN survival_status = {2358.0} (p=345, n=0, P=500, N=0)","IF hr <= 71.50 THEN survival_status = {inf} (p=141, n=0, P=500, N=0)","IF chf <= 0.50 AND hr <= 71.50 THEN survival_status = {inf} (p=111, n=0, P=500, N=0)",0.028736678800473925,0.04919438022799105,0.9969544756452599,1585.7206064576776,1575.2356297847573,1787.7747148045355,2358.0,inf,inf
20_whas500.arff,1,"IF age >= 64.50 THEN survival_status = {920.0} (p=328, n=0, P=500, N=0)","IF bmi <= 25.40 THEN survival_status = {849.0} (p=214, n=0, P=500, N=0)","IF age >= 64.50 AND bmi <= 25.40 THEN survival_status = {406.0} (p=168, n=0, P=500, N=0)",0.022503515195201218,0.046895069425836544,0.990569398741933,1064.9513259608834,1063.7648326720628,853.9315925993101,920.0,849.0,406.0
21_actg320.arff,0,"IF cd4 <= 18.75 THEN survival_status = {inf} (p=253, n=0, P=1151, N=0)","IF karnof <= 85.00 THEN survival_status = {inf} (p=214, n=0, P=1151, N=0)","IF cd4 <= 18.75 AND karnof <= 85.00 THEN survival_status = {inf} (p=80, n=0, P=1151, N=0)",0.03077503586950958,0.03517076986317558,0.9833849977171366,294.673238475528,295.00611236842667,263.8991618479667,inf,inf,inf
22_wcgs.arff,0,"IF chol0 <= 271.50 THEN survival_status = {inf} (p=2719, n=0, P=3154, N=0)","IF dbp0 <= 84.50 THEN survival_status = {inf} (p=2130, n=0, P=3154, N=0)","IF chol0 <= 271.50 AND dbp0 <= 84.50 THEN survival_status = {inf} (p=1876, n=0, P=3154, N=0)",0.03795763765122462,0.047977660351019136,0.9950215095104303,3298.037548846364,3303.53278642955,3330.8802419501035,inf,inf,inf
22_wcgs.arff,1,"IF chol0 >= 264.50 THEN survival_status = {inf} (p=550, n=0, P=3154, N=0)","IF sbp0 >= 147.00 THEN survival_status = {inf} (p=341, n=0, P=3154, N=0)","IF chol0 >= 264.50 AND sbp0 >= 147.00 THEN survival_status = {inf} (p=75, n=0, P=3154, N=0)",0.010301243799842541,0.017314371114746097,0.980821543528364,2885.349551344397,2872.2998545175597,2637.8311617255945,inf,inf,inf
22_wcgs.arff,2,"IF age0 <= 47.50 THEN survival_status = {inf} (p=1951, n=0, P=3154, N=0)","IF chol0 <= 236.50 AND sbp0 <= 186.00 THEN survival_status = {inf} (p=1951, n=0, P=3154, N=0)","IF age0 <= 47.50 AND chol0 <= 236.50 AND sbp0 <= 186.00 THEN survival_status = {inf} (p=1285, n=0, P=3154, N=0)",0.0010671088303891851,0.0010739583990174717,0.9972828950563332,3327.1705944521145,3334.2625582850856,3377.6046144530137,inf,inf,inf
23_lac_selected.arff,0,"IF INHA_a <= 11.33 AND UBC <= 12.51 THEN survival_status = {inf} (p=74, n=0, P=86, N=0)","IF SLC1A6 <= 9.25 AND CRK <= 8.57 THEN survival_status = {inf} (p=22, n=0, P=86, N=0)","IF INHA_a <= 11.33 AND UBC <= 12.51 AND SLC1A6 <= 9.25 AND CRK <= 8.57 THEN survival_status = {inf} (p=16, n=0, P=86, N=0)",0.04826896954864823,0.04230495938646994,0.6934937846003915,87.664425983504,85.71081155686417,110.6,inf,inf,inf
23_lac_selected.arff,1,"IF INHA_a <= 11.33 AND FADD <= 10.24 AND ATP2B1 <= 9.92 THEN survival_status = {inf} (p=76, n=0, P=86, N=0)","IF GCNT1_a <= 7.50 THEN survival_status = {inf} (p=39, n=0, P=86, N=0)","IF INHA_a <= 11.33 AND FADD <= 10.24 AND ATP2B1 <= 9.92 AND GCNT1_a <= 7.50 THEN survival_status = {inf} (p=33, n=0, P=86, N=0)",0.03596813805261123,0.04941891020979272,0.990393813516162,84.93986113620635,87.97554935318095,104.69032258064517,inf,inf,inf
24_pbc.arff,0,"IF bili >= 1.05 THEN survival_status = {2288.0} (p=261, n=0, P=418, N=0)","IF albumin <= 3.55 THEN survival_status = {2297.0} (p=219, n=0, P=418, N=0)","IF bili >= 1.05 AND albumin <= 3.55 THEN survival_status = {1536.0} (p=163, n=0, P=418, N=0)",0.024309075084166465,0.032930025898995186,0.9986734357701849,2414.8324255673415,2418.387884108573,2031.7584415615966,2288.0,2297.0,1536.0
