dataset,model,CR_number,ER_number,CR,RR,ER,GACE,RI,MY_MEASURE
sonar.arff,algorithm_mincov_5_threshold_0_6,1,0,"IF attribute_28 >= 0.99 THEN class = Mine (p=16, n=1, P=111, N=97)","IF attribute_2 >= 0.06 THEN class = Mine (p=29, n=9, P=111, N=97)","IF attribute_28 >= 0.99 AND attribute_2 >= 0.06 THEN class = Rock (p=1, n=0, P=97, N=111)",0.016036641949077602,4.4875982967219885,0.5720720720720721
sonar.arff,algorithm_mincov_5_threshold_0_7,0,0,"IF attribute_28 >= 0.99 THEN class = Mine (p=16, n=1, P=111, N=97)","IF attribute_2 >= 0.06 THEN class = Mine (p=29, n=9, P=111, N=97)","IF attribute_28 >= 0.99 AND attribute_2 >= 0.06 THEN class = Rock (p=1, n=0, P=97, N=111)",0.016036641949077602,4.4875982967219885,0.5720720720720721
sonar.arff,algorithm_mincov_5_threshold_0_8,0,0,"IF attribute_28 >= 0.99 THEN class = Mine (p=16, n=1, P=111, N=97)","IF attribute_1 >= 0.07 THEN class = Mine (p=13, n=2, P=111, N=97)","IF attribute_28 >= 0.99 AND attribute_1 >= 0.07 THEN class = Rock (p=1, n=0, P=97, N=111)",0.016036641949077602,4.308725834080187,0.5720720720720721
sonar.arff,algorithm_mincov_0_1_threshold_0_6,0,0,"IF attribute_44 >= 0.43 THEN class = Mine (p=22, n=1, P=111, N=97)","IF attribute_28 <= 0.46 THEN class = Mine (p=25, n=15, P=111, N=97)","IF attribute_44 >= 0.43 AND attribute_28 <= 0.46 THEN class = Rock (p=1, n=0, P=97, N=111)",0.019597724634538134,5.212628482072478,0.5990990990990991
sonar.arff,algorithm_mincov_0_1_threshold_0_6,1,0,"IF attribute_28 >= 0.99 THEN class = Mine (p=16, n=1, P=111, N=97)","IF attribute_2 >= 0.06 THEN class = Mine (p=29, n=9, P=111, N=97)","IF attribute_28 >= 0.99 AND attribute_2 >= 0.06 THEN class = Rock (p=1, n=0, P=97, N=111)",0.016036641949077602,4.4875982967219885,0.5720720720720721
sonar.arff,algorithm_mincov_0_1_threshold_0_7,0,0,"IF attribute_28 >= 0.99 THEN class = Mine (p=16, n=1, P=111, N=97)","IF attribute_2 >= 0.06 THEN class = Mine (p=29, n=9, P=111, N=97)","IF attribute_28 >= 0.99 AND attribute_2 >= 0.06 THEN class = Rock (p=1, n=0, P=97, N=111)",0.016036641949077602,4.4875982967219885,0.5720720720720721
sonar.arff,algorithm_mincov_0_1_threshold_0_8,0,0,"IF attribute_28 >= 0.99 THEN class = Mine (p=16, n=1, P=111, N=97)","IF attribute_1 >= 0.07 THEN class = Mine (p=13, n=2, P=111, N=97)","IF attribute_28 >= 0.99 AND attribute_1 >= 0.07 THEN class = Rock (p=1, n=0, P=97, N=111)",0.016036641949077602,4.308725834080187,0.5720720720720721
vehicle.arff,algorithm_mincov_5_threshold_0_6,0,0,"IF SCATTER_RATIO <= 145.00 AND MAX.LENGTH_ASPECT_RATIO >= 8.50 THEN class = van (p=22, n=2, P=199, N=647)","IF SCALED_VARIANCE_MAJOR <= 145.00 THEN class = van (p=29, n=19, P=199, N=647)","IF SCATTER_RATIO <= 145.00 AND MAX.LENGTH_ASPECT_RATIO >= 8.50 AND SCALED_VARIANCE_MAJOR <= 145.00 THEN class = opel (p=1, n=0, P=212, N=634)",0.010128734282242235,4.316131829531235,0.43027638190954776
vehicle.arff,algorithm_mincov_5_threshold_0_6,1,0,"IF SCALED_VARIANCE_MAJOR <= 168.00 AND MAX.LENGTH_ASPECT_RATIO >= 9.00 THEN class = van (p=34, n=2, P=199, N=647)","IF SCALED_VARIANCE_MAJOR <= 145.00 THEN class = van (p=29, n=19, P=199, N=647)","IF SCALED_VARIANCE_MAJOR <= 168.00 AND MAX.LENGTH_ASPECT_RATIO >= 9.00 AND SCALED_VARIANCE_MAJOR <= 145.00 THEN class = opel (p=1, n=0, P=212, N=634)",0.01300399763039179,4.901094330252391,0.46042713567839194
vehicle.arff,algorithm_mincov_5_threshold_0_6,2,0,"IF SKEWNESS_ABOUT_MAJOR >= 79.50 THEN class = bus (p=88, n=50, P=218, N=628)","IF PR.AXIS_ASPECT_RATIO >= 73.00 THEN class = bus (p=21, n=9, P=218, N=628)","IF SKEWNESS_ABOUT_MAJOR >= 79.50 AND PR.AXIS_ASPECT_RATIO >= 73.00 THEN class = van (p=6, n=3, P=199, N=647)",0.021900732428487436,0.9429296725723347,0.39850152905198777
vehicle.arff,algorithm_mincov_5_threshold_0_6,3,0,"IF PR.AXIS_ASPECT_RATIO >= 70.50 THEN class = bus (p=38, n=17, P=218, N=628)","IF SKEWNESS_ABOUT_MAJOR >= 83.00 THEN class = bus (p=52, n=31, P=218, N=628)","IF PR.AXIS_ASPECT_RATIO >= 70.50 AND SKEWNESS_ABOUT_MAJOR >= 83.00 THEN class = van (p=6, n=3, P=199, N=647)",0.015712760905798002,1.2046713109561211,0.34205792408706603
vehicle.arff,algorithm_mincov_5_threshold_0_6,4,0,"IF PR.AXIS_ASPECT_RATIO >= 69.50 THEN class = bus (p=48, n=25, P=218, N=628)","IF SKEWNESS_ABOUT_MAJOR >= 83.00 THEN class = bus (p=52, n=31, P=218, N=628)","IF PR.AXIS_ASPECT_RATIO >= 69.50 AND SKEWNESS_ABOUT_MAJOR >= 83.00 THEN class = van (p=6, n=3, P=199, N=647)",0.016737078468225614,1.1021062567262419,0.33675840978593274
vehicle.arff,algorithm_mincov_0_1_threshold_0_6,0,0,"IF SCALED_VARIANCE_MAJOR <= 168.00 AND MAX.LENGTH_ASPECT_RATIO >= 9.00 THEN class = van (p=34, n=2, P=199, N=647)","IF SCALED_VARIANCE_MAJOR <= 145.00 THEN class = van (p=29, n=19, P=199, N=647)","IF SCALED_VARIANCE_MAJOR <= 168.00 AND MAX.LENGTH_ASPECT_RATIO >= 9.00 AND SCALED_VARIANCE_MAJOR <= 145.00 THEN class = opel (p=1, n=0, P=212, N=634)",0.01300399763039179,4.901094330252391,0.46042713567839194
vehicle.arff,algorithm_mincov_0_1_threshold_0_6,1,0,"IF PR.AXIS_ASPECT_RATIO >= 70.50 THEN class = bus (p=38, n=17, P=218, N=628)","IF SKEWNESS_ABOUT_MAJOR >= 83.00 THEN class = bus (p=52, n=31, P=218, N=628)","IF PR.AXIS_ASPECT_RATIO >= 70.50 AND SKEWNESS_ABOUT_MAJOR >= 83.00 THEN class = van (p=6, n=3, P=199, N=647)",0.015712760905798002,1.2046713109561211,0.34205792408706603
yeast.arff,algorithm_mincov_5_threshold_0_6,0,0,"IF gvh <= 0.24 THEN class = NUC (p=14, n=6, P=429, N=1055)","IF vac <= 0.25 THEN class = NUC (p=5, n=3, P=429, N=1055)","IF gvh <= 0.24 AND vac <= 0.25 THEN class = CYT (p=3, n=0, P=463, N=1021)",0.0048777802773508705,2.4286384166398207,0.3913170163170163
yeast.arff,algorithm_mincov_5_threshold_0_6,1,0,"IF alm >= 0.53 AND mit <= 0.13 AND mcg >= 0.49 AND vac >= 0.51 THEN class = NUC (p=9, n=4, P=429, N=1055)","IF nuc >= 0.37 THEN class = NUC (p=128, n=83, P=429, N=1055)","IF alm >= 0.53 AND mit <= 0.13 AND mcg >= 0.49 AND vac >= 0.51 AND nuc >= 0.37 THEN class = CYT (p=1, n=0, P=463, N=1021)",0.002228176327942635,2.4223530809441933,0.32298951048951047
yeast.arff,algorithm_mincov_5_threshold_0_6,2,0,"IF alm >= 0.53 AND mit <= 0.30 AND vac <= 0.52 AND mcg <= 0.58 AND mcg >= 0.54 THEN class = NUC (p=29, n=16, P=429, N=1055)","IF nuc >= 0.48 THEN class = NUC (p=60, n=23, P=429, N=1055)","IF alm >= 0.53 AND mit <= 0.30 AND vac <= 0.52 AND mcg <= 0.58 AND mcg >= 0.54 AND nuc >= 0.48 THEN class = CYT (p=1, n=0, P=463, N=1021)",0.0036590868567489268,1.9601474424448997,0.2994245337995338
yeast.arff,algorithm_mincov_5_threshold_0_7,0,0,"IF alm >= 0.53 AND mit <= 0.13 AND mcg >= 0.49 AND vac >= 0.51 AND mcg <= 0.65 THEN class = NUC (p=9, n=2, P=429, N=1055)","IF nuc >= 0.48 THEN class = NUC (p=60, n=23, P=429, N=1055)","IF alm >= 0.53 AND mit <= 0.13 AND mcg >= 0.49 AND vac >= 0.51 AND mcg <= 0.65 AND nuc >= 0.48 THEN class = CYT (p=1, n=0, P=463, N=1021)",0.0027028448843392484,2.9297475280948406,0.38548951048951047
yeast.arff,algorithm_mincov_5_threshold_0_7,1,0,"IF alm >= 0.47 AND mit <= 0.25 AND nuc <= 0.31 AND vac >= 0.56 AND mit >= 0.20 THEN class = CYT (p=12, n=3, P=463, N=1021)","IF alm >= 0.69 THEN class = CYT (p=12, n=3, P=463, N=1021)","IF alm >= 0.47 AND mit <= 0.25 AND nuc <= 0.31 AND vac >= 0.56 AND mit >= 0.20 AND alm >= 0.69 THEN class = MIT (p=1, n=0, P=244, N=1240)",0.0035993781586366614,2.647119464395629,0.3462922966162707
yeast.arff,algorithm_mincov_5_threshold_0_7,2,0,"IF alm >= 0.47 AND mit <= 0.25 AND nuc <= 0.31 AND vac >= 0.56 AND vac <= 0.57 THEN class = CYT (p=19, n=5, P=463, N=1021)","IF alm >= 0.69 THEN class = CYT (p=12, n=3, P=463, N=1021)","IF alm >= 0.47 AND mit <= 0.25 AND nuc <= 0.31 AND vac >= 0.56 AND vac <= 0.57 AND alm >= 0.69 THEN class = MIT (p=1, n=0, P=244, N=1240)",0.004471543905504529,2.5877291677988223,0.3205183585313175
