dataset,CR_number,CR,RR,ER,CR_vs_RR_p_value,ER_vs_CR_p_value,ER_vs_RR_p_value
compressive.arff,0,"IF Age >= 225.00 THEN class = {46.08} [36.13, 56.02] (p=27, n=6, P=358, N=672)","IF Coarse Aggregate >= 1,094.70 THEN class = {36.98} [15.89, 58.06] (p=34, n=23, P=782, N=248)","IF Age >= 225.00 AND Coarse Aggregate >= 1,094.70 THEN class = {65.48} [57.63, 73.33] (p=1, n=2, P=84, N=946)",0.057464438584833036,0.007775276242661627,0.0232408548772314
compressive.arff,1,"IF Age >= 95.50 THEN class = {45.64} [36.01, 55.28] (p=84, n=30, P=345, N=685)","IF Coarse Aggregate >= 1,111.30 THEN class = {41.92} [21.18, 62.66] (p=25, n=19, P=743, N=287)","IF Age >= 95.50 AND Coarse Aggregate >= 1,111.30 THEN class = {63.50} [55.14, 71.87] (p=4, n=2, P=116, N=914)",0.16474935240653088,0.0003899169152890592,0.0047793693216615085
compressive.arff,2,"IF Age >= 73.00 THEN class = {46.97} [34.22, 59.72] (p=135, n=55, P=421, N=609)","IF Superplasticizer >= 8.04 THEN class = {43.11} [25.61, 60.62] (p=256, n=144, P=628, N=402)","IF Age >= 73.00 AND Superplasticizer >= 8.04 THEN class = {60.75} [49.14, 72.36] (p=28, n=18, P=195, N=835)",0.07805258689810123,4.253121844147633e-15,5.769323508622986e-13
compressive.arff,3,"IF Age <= 5.00 THEN class = {18.84} [9.01, 28.67] (p=92, n=44, P=342, N=688)","IF Cement <= 133.05 THEN class = {19.06} [7.72, 30.40] (p=11, n=12, P=389, N=641)","IF Age <= 5.00 AND Cement <= 133.05 THEN class = {4.68} [2.96, 6.40] (p=3, n=2, P=7, N=1023)",0.1477692291799744,0.00024650188114753785,5.9437130375345475e-05
compressive.arff,4,"IF Age >= 42.00 THEN class = {48.57} [35.12, 62.01] (p=191, n=90, P=428, N=602)","IF Superplasticizer >= 17.20 THEN class = {50.91} [34.64, 67.18] (p=25, n=11, P=464, N=566)","IF Age >= 42.00 AND Superplasticizer >= 17.20 THEN class = {67.43} [59.60, 75.26] (p=6, n=4, P=80, N=950)",0.3744759533574217,2.9846742117321573e-05,8.215663343739267e-05
compressive.arff,5,"IF Age <= 21.00 THEN class = {23.54} [11.15, 35.93] (p=226, n=98, P=491, N=539)","IF Cement <= 158.90 THEN class = {22.63} [12.21, 33.05] (p=80, n=49, P=403, N=627)","IF Age <= 21.00 AND Cement <= 158.90 THEN class = {8.38} [4.75, 12.01] (p=14, n=6, P=61, N=969)",0.12703272150321349,7.790167554263242e-11,3.726757286969877e-11
compressive.arff,6,"IF Superplasticizer >= 15.95 THEN class = {49.99} [33.10, 66.88] (p=42, n=12, P=504, N=526)","IF Age >= 73.00 THEN class = {46.97} [34.22, 59.72] (p=135, n=55, P=421, N=609)","IF Superplasticizer >= 15.95 AND Age >= 73.00 THEN class = {67.16} [60.57, 73.75] (p=6, n=2, P=65, N=965)",0.4118698294519916,0.00043186133856959,6.0628659441339875e-05
compressive.arff,7,"IF Cement <= 153.35 AND Blast Furnace Slag <= 134.50 THEN class = {17.36} [10.24, 24.47] (p=25, n=6, P=242, N=788)","IF Age <= 10.50 THEN class = {22.31} [9.48, 35.14] (p=186, n=76, P=494, N=536)","IF Cement <= 153.35 AND Blast Furnace Slag <= 134.50 AND Age <= 10.50 THEN class = {6.58} [4.78, 8.37] (p=2, n=0, P=21, N=1009)",0.2613089871638593,0.021913054061819086,0.028047018713937423
compressive.arff,8,"IF Cement <= 153.35 AND Cement >= 152.30 THEN class = {21.06} [13.80, 28.32] (p=10, n=2, P=265, N=765)","IF Age <= 10.50 THEN class = {22.31} [9.48, 35.14] (p=186, n=76, P=494, N=536)","IF Cement <= 153.35 AND Cement >= 152.30 AND Age <= 10.50 THEN class = {6.58} [4.78, 8.37] (p=2, n=0, P=21, N=1009)",0.12936066688656697,0.030303030303030304,0.028047018713937423
compressive.arff,9,"IF Cement <= 153.35 AND Blast Furnace Slag <= 162.20 THEN class = {19.10} [11.74, 26.47] (p=37, n=11, P=273, N=757)","IF Age <= 10.50 THEN class = {22.31} [9.48, 35.14] (p=186, n=76, P=494, N=536)","IF Cement <= 153.35 AND Blast Furnace Slag <= 162.20 AND Age <= 10.50 THEN class = {6.35} [4.65, 8.04] (p=2, n=2, P=18, N=1012)",0.8996702925011342,0.001098338620573763,0.0014981704411624126
compressive.arff,10,"IF Cement <= 153.35 AND Blast Furnace Slag <= 172.80 THEN class = {20.98} [11.74, 30.21] (p=47, n=14, P=341, N=689)","IF Age <= 10.50 THEN class = {22.31} [9.48, 35.14] (p=186, n=76, P=494, N=536)","IF Cement <= 153.35 AND Blast Furnace Slag <= 172.80 AND Age <= 10.50 THEN class = {5.91} [3.73, 8.08] (p=4, n=2, P=20, N=1010)",0.21913238347464647,6.777569735036783e-05,8.410704931535956e-05
compressive.arff,11,"IF Cement <= 153.35 AND Coarse Aggregate <= 867.90 THEN class = {25.48} [17.65, 33.32] (p=14, n=4, P=318, N=712)","IF Blast Furnace Slag <= 0.01 THEN class = {31.66} [16.89, 46.42] (p=307, n=159, P=631, N=399)","IF Cement <= 153.35 AND Coarse Aggregate <= 867.90 AND Blast Furnace Slag <= 0.01 THEN class = {13.03} [10.54, 15.52] (p=2, n=2, P=83, N=947)",0.6019195237929207,0.0034781782825550715,0.006377818246996568
compressive.arff,12,"IF Cement <= 153.35 AND Coarse Aggregate >= 975.40 THEN class = {22.06} [12.07, 32.06] (p=24, n=7, P=378, N=652)","IF Age <= 21.00 THEN class = {23.54} [11.15, 35.93] (p=226, n=98, P=491, N=539)","IF Cement <= 153.35 AND Coarse Aggregate >= 975.40 AND Age <= 21.00 THEN class = {10.05} [6.84, 13.27] (p=2, n=1, P=76, N=954)",0.7465138571907013,0.017683345945051887,0.027065151086622115
compressive.arff,13,"IF Cement <= 153.35 AND Coarse Aggregate >= 919.30 THEN class = {22.13} [11.94, 32.32] (p=46, n=19, P=386, N=644)","IF Age <= 21.00 THEN class = {23.54} [11.15, 35.93] (p=226, n=98, P=491, N=539)","IF Cement <= 153.35 AND Coarse Aggregate >= 919.30 AND Age <= 21.00 THEN class = {8.15} [4.43, 11.87] (p=7, n=4, P=60, N=970)",0.1652588089205339,9.22301229166924e-07,1.921315478051426e-06
compressive.arff,14,"IF Cement <= 157.50 THEN class = {22.93} [12.54, 33.33] (p=81, n=43, P=407, N=623)","IF Age <= 21.00 THEN class = {23.54} [11.15, 35.93] (p=226, n=98, P=491, N=539)","IF Cement <= 157.50 AND Age <= 21.00 THEN class = {8.32} [4.60, 12.03] (p=13, n=6, P=61, N=969)",0.06549457639267903,6.997628799295943e-11,2.440599849467489e-10
compressive.arff,15,"IF Cement <= 164.80 AND Blast Furnace Slag <= 183.65 THEN class = {20.90} [11.76, 30.04] (p=67, n=24, P=337, N=693)","IF Age <= 10.50 THEN class = {22.31} [9.48, 35.14] (p=186, n=76, P=494, N=536)","IF Cement <= 164.80 AND Blast Furnace Slag <= 183.65 AND Age <= 10.50 THEN class = {6.48} [4.15, 8.81] (p=6, n=2, P=25, N=1005)",0.2911109985196598,4.42876373266197e-06,8.699218543926643e-06
