dataset,model,thread_time,process_time,raw_time,liczba_regul,liczba_wyjatkow,srednia_dlugosc_reguly,suma_warunkow,avg_precision,avg_coverage,rmse_train,rmse_test,mae_train,mae_test
auto-mpg.arff,RuleKit,0.7248577520000001,11.146103017,1.8150396347045898,15,0,3.533333333333333,53,0.83,0.77,4.680055911110194,4.246442436143886,3.5174939749521803,3.5327014322684134
auto-mpg.arff,RegressionRules,2.4625126160000006,2.7328443510000007,2.4625484943389893,16,0,5.0,80,0.84,0.74,4.997970885011118,4.26074484956796,3.7427392079274773,3.4759943614336057
auto-mpg.arff,RegressionExceptionRules,11.655148159000001,11.666978375,11.65569806098938,16,0,5.0,80,0.84,0.74,4.997970885011118,4.26074484956796,3.7427392079274773,3.4759943614336057
auto-mpg.arff,DecisionTreeRegressor,0.008019921000002483,0.008031752999997366,0.008019685745239258,29,0,4.931034482758621,143,0.0,0.0,2.2124630584921468,3.05944838845013,1.565537615861357,2.18854304029304
auto-price.arff,RuleKit,0.10934024299999834,1.5768017050000012,0.13954997062683105,8,0,2.375,19,0.91,0.8,3409.190036659145,3114.317313995845,2046.0245282218123,2126.4806846667925
auto-price.arff,RegressionRules,1.2921896219999986,1.3476877829999978,1.2921779155731201,9,0,4.666666666666667,42,0.89,0.74,3926.218267693462,3264.5434070813235,2439.4866522269863,2150.2758540996088
auto-price.arff,RegressionExceptionRules,5.424631770000001,5.4273280029999995,5.424675464630127,9,0,4.666666666666667,42,0.89,0.74,3926.218267693462,3264.5434070813235,2439.4866522269863,2150.2758540996088
auto-price.arff,DecisionTreeRegressor,0.008560252999998852,0.008575843000002692,0.0085601806640625,19,0,4.526315789473684,86,0.0,0.0,1293.5619810909425,2415.723516430597,881.7384884884884,1704.005613425926
auto93.arff,RuleKit,0.10372895399999749,2.1310897850000003,0.15324068069458008,8,0,2.125,17,0.92,0.69,7.536641204819576,5.786819889083309,5.0680293458355195,4.345463885567638
auto93.arff,RegressionRules,0.942420680999998,0.955824659000001,0.9424235820770264,8,0,5.0,40,0.92,0.63,7.836859804604723,6.203268861224797,5.536906562562015,4.750706685597052
auto93.arff,RegressionExceptionRules,4.300962275,4.303403290999995,4.301852464675903,8,1,4.625,37,0.93,0.6,8.031118535920564,6.023702901799802,5.606751708443468,4.694110433110929
auto93.arff,DecisionTreeRegressor,0.015416310999999183,0.015486082000002455,0.01541590690612793,15,0,4.2,63,0.0,0.0,4.368976683956698,4.152313904123509,2.5444444444444447,2.873412698412698
baseball.arff,RuleKit,0.16201742000000152,7.687343660000003,0.652644157409668,31,0,3.3225806451612905,103,0.89,0.59,913.0814215740617,1016.8413293691851,629.2464168146361,712.4609370325336
baseball.arff,RegressionRules,8.991527227000002,9.297816056000002,8.991615533828735,33,0,5.0,165,0.89,0.57,1005.392249197337,1166.3325634114915,696.4627864979108,814.1673640507512
baseball.arff,RegressionExceptionRules,39.11332430299999,39.12873933,39.1211941242218,33,3,4.757575757575758,157,0.89,0.57,944.7256087400733,1094.0056172418685,662.89738318613,764.7032933106435
baseball.arff,DecisionTreeRegressor,0.008838987000004295,0.008919027000004576,0.00883936882019043,29,0,4.896551724137931,142,0.0,0.0,429.6876573155194,726.4573306562735,276.63565911878345,418.50552666202043
bodyfat.arff,RuleKit,0.09683819400000004,4.935465798999999,0.6835727691650391,25,0,2.56,64,0.87,0.92,2.6906648476485864,2.018886514664537,1.6890164616868895,1.4175779558964177
bodyfat.arff,RegressionRules,7.393186794000002,7.579479108000015,7.393343925476074,28,0,4.75,133,0.86,0.82,2.811638263639366,2.203044470713924,1.7894823314363315,1.530164903605028
bodyfat.arff,RegressionExceptionRules,40.961615640999995,40.97579979299999,40.9618284702301,28,0,4.75,133,0.86,0.82,2.811638263639366,2.203044470713924,1.7894823314363315,1.530164903605028
bodyfat.arff,DecisionTreeRegressor,0.008250412999998957,0.008256082999992032,0.008250236511230469,27,0,4.851851851851852,131,0.0,0.0,1.0277460854108649,1.2448297833923745,0.5322179903429902,0.7207225084856667
bolts.arff,RuleKit,0.018119636000008654,0.05012344499999699,0.023418426513671875,3,0,1.6666666666666667,5,0.82,0.8,16.60066821791491,14.402533025981342,10.937995649492501,11.663670409720796
bolts.arff,RegressionRules,0.08057385699999031,0.08059373500000788,0.08057308197021484,4,0,4.0,16,0.86,0.8,9.954289877193194,24.040007213066666,7.375849134599681,15.591192051774604
bolts.arff,RegressionExceptionRules,0.2891837100000032,0.28930448700000966,0.2891809940338135,4,0,4.0,16,0.86,0.8,9.954289877193194,24.040007213066666,7.375849134599681,15.591192051774604
bolts.arff,DecisionTreeRegressor,0.005183611000006749,0.005184683999999606,0.00518345832824707,8,0,3.125,25,0.0,0.0,4.309779079522025,14.455675039646257,3.3783809523809536,8.18361111111111
breasttumor.arff,RuleKit,0.09396263899999724,1.837058498999994,0.3430180549621582,34,0,3.0294117647058822,103,0.83,0.18,9.7215641518679,10.04545930828242,7.563072052318371,7.87735963974068
breasttumor.arff,RegressionRules,0.7227023049999985,0.72293785399998,0.7226955890655518,36,0,4.861111111111111,175,0.79,0.14,9.984954493958437,10.023357049814647,7.692596818981649,7.882486412614284
breasttumor.arff,RegressionExceptionRules,3.061477356999987,3.0692347990000144,3.0618808269500732,36,0,4.861111111111111,175,0.79,0.14,9.984954493958437,10.023357049814647,7.692596818981649,7.882486412614284
breasttumor.arff,DecisionTreeRegressor,0.013425988999983929,0.01344172800000365,0.013425827026367188,24,0,4.75,114,0.0,0.0,8.082617320552886,11.132104696090682,6.40001974448316,9.27253218515272
cholesterol.arff,RuleKit,0.1061568359999967,1.124428125999998,0.2463066577911377,37,0,3.4324324324324325,127,0.82,0.18,44.03469717988771,60.454440569466755,33.73320806564078,43.466744683279266
cholesterol.arff,RegressionRules,2.202682675999995,2.2530169610000144,2.2026848793029785,37,0,4.8108108108108105,178,0.81,0.16,44.06780771977634,60.583120881440124,33.91119209450671,43.74972179484831
cholesterol.arff,RegressionExceptionRules,10.731810276999994,10.736660217000008,10.732526540756226,37,2,4.702702702702703,174,0.81,0.17,44.04335613364228,59.758662440873486,33.9454185061571,42.986846199924955
cholesterol.arff,DecisionTreeRegressor,0.011147875999995449,0.011244917999988502,0.011147737503051758,23,0,4.6521739130434785,107,0.0,0.0,36.001366180397774,60.88740468479286,28.063375896630614,45.51489702780912
cloud.arff,RuleKit,0.025514004000001478,0.06889061900000115,0.032343149185180664,4,0,2.75,11,0.9,0.73,0.722901922780596,0.7175957601541131,0.41228233981997964,0.5008891568879346
cloud.arff,RegressionRules,0.4245357590000083,0.42934225999999853,0.4245431423187256,5,0,5.0,25,0.93,0.66,0.7133618537753441,0.6785558726886636,0.41251545139938356,0.4891213521912819
cloud.arff,RegressionExceptionRules,1.9901139790000002,1.9906883259999972,1.9902629852294922,5,0,5.0,25,0.93,0.66,0.7133618537753441,0.6785558726886636,0.41251545139938356,0.4891213521912819
cloud.arff,DecisionTreeRegressor,0.009353352000005088,0.009365143999986003,0.009353160858154297,17,0,4.764705882352941,81,0.0,0.0,0.3273054444525083,0.49925439057245663,0.17983682539682544,0.33942424242424246
compressive.arff,RuleKit,0.2587830159999953,9.764103363000004,1.3253049850463867,95,0,3.8421052631578947,365,0.82,0.23,9.833234077786813,11.257134197527426,7.5242380894986525,8.906323142123252
compressive.arff,RegressionRules,38.460769887,38.480214647,38.464075565338135,98,0,4.826530612244898,473,0.81,0.21,9.276733074472565,10.798945976629158,7.107706259793327,8.413724685564254
compressive.arff,RegressionExceptionRules,117.18224434599998,117.22947223399999,117.18479228019714,59,16,3.847457627118644,227,0.76,0.19,9.893365772847027,11.036866235423107,7.759298466660254,8.834647716282422
