dataset,model,thread_time,process_time,raw_time,liczba_regul,liczba_wyjatkow,srednia_dlugosc_reguly,suma_warunkow,avg_precision,avg_coverage,balanced_accuracy__train,accuracy__train,recall__train,precision__train,f1_score__train,balanced_accuracy__test,accuracy__test,recall__test,precision__test,f1_score__test
anneal.arff,algorithm_rulekit,1.08916903,14.011353567,2.035181760787964,29,0,2.4827586206896552,72,0.98,0.36,0.8999596774193549,0.9633757961783439,0.8999596774193549,0.9866721103248051,0.9373451731234377,0.8759273979862215,0.9259259259259259,0.8759273979862215,0.9443181818181818,0.8929694519317162
anneal.arff,algorithm_cer,0.8415229849999997,1.1258352129999984,0.8415515422821045,25,0,2.28,57,0.99,0.35,0.8499596774193549,0.9601910828025477,0.8499596774193549,0.985911801915778,0.9041272830755851,0.8271528881823,0.9222222222222223,0.8271528881823,0.9650784753363228,0.8765938069216758
anneal.arff,algorithm_cer_with_exceptions_prediction_type_0,2.346546593,2.3489129959999993,2.346564769744873,20,2,1.25,25,0.96,0.36,0.8712500000000001,0.9808917197452229,0.8712500000000001,0.9923356009070294,0.9190026962727993,0.9,0.9851851851851852,0.9,0.9951923076923077,0.9350728155339806
anneal.arff,algorithm_cer_with_exceptions_prediction_type_1,2.346546593,2.3489129959999993,2.346564769744873,20,2,1.25,25,0.96,0.36,0.8712500000000001,0.9808917197452229,0.8712500000000001,0.9923356009070294,0.9190026962727993,0.9,0.9851851851851852,0.9,0.9951923076923077,0.9350728155339806
anneal.arff,algorithm_cer_with_exceptions_prediction_type_2,2.346546593,2.3489129959999993,2.346564769744873,20,2,1.25,25,0.96,0.36,0.8712500000000001,0.9808917197452229,0.8712500000000001,0.9923356009070294,0.9190026962727993,0.9,0.9851851851851852,0.9,0.9951923076923077,0.9350728155339806
anneal.arff,algorithm_cer_with_exceptions_prediction_type_3,2.346546593,2.3489129959999993,2.346564769744873,20,2,1.25,25,0.96,0.36,0.8712500000000001,0.9808917197452229,0.8712500000000001,0.9923356009070294,0.9190026962727993,0.9,0.9851851851851852,0.9,0.9951923076923077,0.9350728155339806
anneal.arff,decision_tree,0.039600480000000715,0.039683265999997275,0.03959965705871582,9,0,3.888888888888889,35,0.0,0.0,0.9613709677419356,0.9777070063694268,0.9613709677419356,0.8887421383647798,0.9078113857025523,0.864394541600424,0.9444444444444444,0.6915156332803392,0.7697041110238282,0.7205679012345679
audiology.arff,algorithm_rulekit,0.2696783679999992,2.3560925930000067,0.5190513134002686,30,0,3.1333333333333333,94,0.9,0.84,0.8387471655328798,0.9177215189873418,0.8387471655328798,0.8791240219811649,0.8524337337800354,0.6104497354497355,0.7647058823529411,0.549404761904762,0.5755952380952382,0.544004329004329
audiology.arff,algorithm_cer,0.5099356289999992,0.510152705000003,0.5099320411682129,35,0,2.342857142857143,82,0.97,0.7,0.8479166666666667,0.8987341772151899,0.8479166666666667,0.8790970933828077,0.8602934011801008,0.6440145502645502,0.7794117647058824,0.6101190476190477,0.597165991902834,0.5920349462999192
audiology.arff,algorithm_cer_with_exceptions_prediction_type_0,1.2112637989999993,1.2117348620000001,1.2114193439483643,35,0,2.342857142857143,82,0.97,0.7,0.8479166666666667,0.8987341772151899,0.8479166666666667,0.8790970933828077,0.8602934011801008,0.6440145502645502,0.7794117647058824,0.6101190476190477,0.597165991902834,0.5920349462999192
audiology.arff,algorithm_cer_with_exceptions_prediction_type_1,1.2112637989999993,1.2117348620000001,1.2114193439483643,35,0,2.342857142857143,82,0.97,0.7,0.8479166666666667,0.8987341772151899,0.8479166666666667,0.8790970933828077,0.8602934011801008,0.6440145502645502,0.7794117647058824,0.6101190476190477,0.597165991902834,0.5920349462999192
